Code,Title,Description,Extension
plannedProcurementNotice,Notice of planned procurement,"A notice published by the procuring entity regarding their plans for future procurement, also known as a prior information notice. The procuring entity can use the notice of planned procurement as a tender notice.",OCDS Core
tenderNotice,Tender notice,"The notice published by the procuring entity inviting interested suppliers to submit a request for participation, a bid, or both. This can be a link to a downloadable document, to a web page, or to an official gazette in which the notice is contained.",OCDS Core
awardNotice,Award notice,"The formal notice that gives details of the contract award. This can be a link to a downloadable document, to a web page, or to an official gazette in which the notice is contained.",OCDS Core
contractNotice,Contract notice,"The formal notice that gives details of a contract being signed and valid to start implementation. This can be a link to a downloadable document, to a web page, or to an official gazette in which the notice is contained.",OCDS Core
completionCertificate,Completion certificate,A completion certificate issued by a relevant authority providing evidence that works were completed to a certain level of quality. Completion certificates might only be relevant for particular kinds of contracting processes.,OCDS Core
procurementPlan,Procurement plan,Documentation that sets out the basis for this particular contracting process.,OCDS Core
biddingDocuments,Bidding documents,"Documentation for potential suppliers, describing the goals of the contract (e.g. goods and services to be procured), and the bidding process.",OCDS Core
technicalSpecifications,Technical specifications,"Tendering requirements that: lay down the characteristics of goods or services to be procured, including quality, performance, safety and dimensions, or the processes and methods for their production or provision; or address terminology, symbols, packaging, marking or labelling requirements, as they apply to a good or service.",OCDS Core
evaluationCriteria,Evaluation criteria,Documentation on how bids will be evaluated.,OCDS Core
evaluationReports,Evaluation report,"Documentation on the evaluation of the bids and the application of the evaluation criteria, including the justification for the award.",OCDS Core
contractDraft,Contract draft,A draft or pro-forma copy of the contract.,OCDS Core
contractSigned,Signed contract,"A copy of the signed contract. Consider providing both machine-readable (e.g. original PDF, Word or Open Document format files), and a separate document entry for scanned-signed pages where this is needed.",OCDS Core
contractArrangements,Arrangements for ending contract,Documentation of the arrangements for ending the contract(s).,OCDS Core
contractSchedule,Contract schedules,"Any document which contains additional terms, obligations or information related to the contract, such as a schedule, appendix, annex, attachment or addendum.",OCDS Core
physicalProgressReport,Physical progress reports,"Documentation on the status of implementation, usually against key milestones.",OCDS Core
financialProgressReport,Financial progress reports,"Documentation providing dates and amounts of stage payments made (against total amount) and the source of those payments, including cost overruns, if any. Structured versions of this information can be provided through contract implementation transactions.",OCDS Core
finalAudit,Final audit,Documentation of a final audit carried out at the end of contract implementation.,OCDS Core
hearingNotice,Public hearing notice,Documentation of any public hearings that took place as part of the planning for this contracting process.,OCDS Core
marketStudies,Market studies,Documentation of any market studies that took place as part of the planning for this contracting process.,OCDS Core
eligibilityCriteria,Eligibility criteria,Detailed documents about the eligibility of bidders.,OCDS Core
clarifications,Clarifications to bidders questions,Documentation that provides replies to issues raised in pre-bid conferences or an enquiry processes.,OCDS Core
shortlistedFirms,Shortlisted firms,Documentation providing information on shortlisted firms. Structured versions of this information can be provided using the bids extension.,OCDS Core
environmentalImpact,Environmental impact,"Documentation of assessments of the environmental impacts (e.g. impacts on flora, fauna & woodlands, areas of natural beauty, carbon emissions etc.) and mitigation measures (e.g. pollution control, low carbon solutions, sustainable timber etc.) for the contracting process.",OCDS Core
assetAndLiabilityAssessment,Assessment of government's assets and liabilities,Documentation covering assessments of the government's assets and liabilities related to this contracting process.,OCDS Core
riskProvisions,Provisions for management of risks and liabilities,Documentation covering how risks will be managed as part of this contracting process.,OCDS Core
winningBid,Winning bid,"Documentation of the winning bid, including, wherever applicable, a full copy of the proposal received.",OCDS Core
complaints,Complaints and decisions,"Documentation of any complaints received, or decisions in response to complaints.",OCDS Core
contractAnnexe,Annexes to the contract,Copies of annexes and other supporting documentation related to the contract.,OCDS Core
contractGuarantees,Guarantees,Documentation of guarantees relating to a contracting process or contract.,OCDS Core
subContract,Subcontracts,"Documentation detailing subcontracts and/or providing a copy of subcontracts themselves. Where OCDS data on the subcontracts exists, this can be declared using the relatedProcess block.",OCDS Core
needsAssessment,Needs assessment,Documentation of the needs assessments carried out for this contracting process addressing demand for the project or investment from the affected communities or users.,OCDS Core
feasibilityStudy,Feasibility study,"Documentation of feasibility studies carried out for this contracting process, providing information on net benefits or costs of the proposed goods, works or services.",OCDS Core
projectPlan,Project plan,"Documentation of project planning for this contracting process, and, where applicable, a copy of the project plan document.",OCDS Core
billOfQuantity,Bill of quantity,"Documentation that provides itemized information on materials, parts and labour, and the terms and conditions for their provision, providing information that would enable bidders to price work effectively. Structured versions of item and quantity information at each of tender, award and contract stage can be provided using units within the items building block.",OCDS Core
bidders,Information on bidders,"Documentation on bidders or participants, their validation documents and any procedural exemptions for which they qualify.",OCDS Core
conflictOfInterest,Conflict of interest,Documentation of conflicts of interest declared or uncovered.,OCDS Core
debarments,Debarments,Documentation of any debarments issued.,OCDS Core
illustration,Illustrations,"Images intended to provide supporting information. The URL for images should be directly to an image file that applications can display as part of a gallery of images. At the tender stage, images can be illustrations of goods, works or services needed or for sale. At the implementation stage, images can be illustrations or visual evidence of physical progress.",OCDS Core
submissionDocuments,Bid submission documents,Documentation submitted by a bidder as part of their proposal.,OCDS Core
contractSummary,Contract summary,Documentation providing an overview of the key terms and sections of the contract. Commonly used for large and complex contracts.,OCDS Core
cancellationDetails,Cancellation details,"Documentation of the arrangements, or reasons, for cancellation of a contracting process, award or specific contract.",OCDS Core
