Code,Title,Description,Extension
CPV,EC Common Procurement Vocabulary,"The Common Procurement Vocabulary is a standard adopted by the Commission of the European Community, and consisting of a main vocabulary for defining the subject of a contract, and a supplementary vocabulary for adding further qualitative information. The main vocabulary, identified in OCDS by the code CPV, is based on a tree structure comprising codes of up to 9 digits (an 8 digit code plus a check digit) associated with a wording that describes the type of goods, works or services forming the subject of the contract. Codes may be provided with or without the check digit, and consuming applications ought to be aware of this when processing data with CPV codes.",OCDS Core
CPVS,EC Common Procurement Vocabulary - Supplementary Codelists,"The Common Procurement Vocabulary is a standard adopted by the Commission of the European Community, and consisting of a main vocabulary for defining the subject of a contract, and a supplementary vocabulary for adding further qualitative information. The supplementary vocabulary, identified in OCDS by the code CPVS, is made up of an alphanumeric code with a corresponding wording allowing further details to be added regarding the specific nature or destination of the goods to be purchased.",OCDS Core
GSIN,Goods and Services Identification Number,The Canadian federal government uses Goods and Services Identification Number (GSIN) codes to identify generic product descriptions for its procurement activities. The full list is published and maintained at buyandsell.gc.ca,OCDS Core
UNSPSC,United Nations Standard Products and Services Code,The United Nations Standard Products and Services Code (UNSPSC) is a hierarchical convention that is used to classify all products and services.,OCDS Core
CPC,Central Product Classification,"The Central Product Classification (CPC) is a product classification for goods and services promulgated by the United Nations Statistical Commission. It is intended to be an international standard for organizing and analyzing data on industrial production, national accounts, trade and prices.",OCDS Core
OKDP,Russian National Classification of Products by Economic Activity (1994),"Part of the unified system of classification and coding of technical, economic and social information of the Russian Federation, in use for Russian Procurement information until January 1, 2016. Superseded by OKPD.",OCDS Core
OKPD,Russian National Classification of Products by Economic Activity (2014),"Part of the national standardization system of the Russian Federation and based on harmonization with the Statistical Classification of Products by Activity in the European Economic Community, 2008. In use from January 1 2014.",OCDS Core
CUCOP,Mexican Single Classifier of Public Procurement,"The Single Classifier of Public Procurement (Clasificador Único de las Contrataciones Públicas) is a national scheme in Mexico for the classification of goods, works, services and leases.",OCDS Core
NAICS,North American Industry Classification System,"The North American Industry Classification System (NAICS) is an industry classification system developed by the statistical agencies of Canada, Mexico and the United States. Created against the background of the North American Free Trade Agreement, it is designed to provide common definitions of the industrial structure of the three countries and a common statistical framework to facilitate the analysis of the three economies. NAICS is based on supply-side or production-oriented principles, to ensure that industrial data, classified to NAICS, are suitable for the analysis of production-related issues such as industrial performance.",OCDS Core
PSC,Product and Service Codes,"The Product and Service Codes (PSC) Manual provides codes to describe products, services, and research and development (R&D) purchased by the United States federal government. These codes indicate 'WHAT' was bought for each contract action reported in the Federal Procurement Data System (FPDS).",OCDS Core
HS,Harmonized Commodity Description and Coding System,"The Harmonized System is an international nomenclature for the classification of products. It allows participating countries to classify traded goods on a common basis for customs purposes. At the international level, the Harmonized System (HS) for classifying goods is a six-digit code system.",OCDS Core
CELEX,CELEX number,Identifier scheme for EUR-Lex documents,Legal basis
COFOG,Classification of the Functions of Government,"A standard classifying the purposes of government activities, developed by the Organisation for Economic Co-operation and Development and published by the United Nations Statistical Division.",Organization classification
TED_CA_TYPE,EC Type of contracting authority,The types of contracting authority within the domain of public procurement according to legislation of the European Parliament.,Organization classification
TED_CE_ACTIVITY,EC Main activity of contracting entity,The main activities of contracting entities within the domain of public procurement according to legislation of the European Parliament.,Organization classification
TED_PT_AWARD_CONTRACT_WITHOUT_CALL,EC Justification for award without call for competition,Justification for the award of a contract or concession without prior publication of a call for competition in the Official Journal of the European Union,Procurement method rationale classifications
TED_CATEGORY,EC Public passenger transport services covered,A classification of the services covered by the award of contracts for public passenger transport services according to Regulation 1370/2007 of the European Parliament.,Tender classification
