Code,Title,Description,Extension
buyer,Buyer,"A buyer is an entity whose budget will be used to pay for goods, works or services related to a contract.",OCDS Core
procuringEntity,Procuring entity,"The entity managing the procurement. This can be different from the buyer who pays for, or uses, the items being procured.",OCDS Core
supplier,Supplier,"An entity awarded or contracted to provide goods, works or services.",OCDS Core
tenderer,Tenderer,All entities who submit a tender.,OCDS Core
funder,Funder,The funder is an entity providing money or finance for this contracting process.,OCDS Core
enquirer,Enquirer,A party who has made an enquiry during the enquiry phase of a contracting process.,OCDS Core
payer,Payer,A party making a payment from a transaction.,OCDS Core
payee,Payee,A party in receipt of a payment from a transaction.,OCDS Core
reviewBody,Review body,A party responsible for the review of this procurement process. This party often has a role in any challenges made to the contract award.,OCDS Core
interestedParty,Interested party,"A party that has expressed an interest in the contracting process: for example, by purchasing tender documents or submitting clarification questions.",OCDS Core
